timestamp,open,high,low,close,volume,trades,price_change_pct,volume_ma,volume_ratio,is_pump_dump
2024-10-05,0.534,0.5352,0.526,0.5294,107009165.0,241773,-0.13750407298794398,437759734.28571427,0.2444472540961429,0
2024-10-06,0.5294,0.5372,0.5279,0.5336,90314821.0,197789,-0.1678103555832814,387469052.14285713,0.23308912157118952,0
2024-10-07,0.5336,0.5459,0.5286,0.5286,246483895.0,431933,-0.13542688910696776,366016126.28571427,0.6734235933844982,0
2024-10-08,0.5287,0.5358,0.5209,0.531,164201090.0,307960,-0.11010558069381593,306686261.0,0.5354041275425768,0
2024-10-09,0.531,0.5346,0.521,0.5245,169687079.0,257640,-0.02563626230726368,240345176.57142857,0.7060140811670104,0
2024-10-10,0.5245,0.545,0.5228,0.5305,267008101.0,428818,0.01686793176154855,198077823.42857143,1.3479959360331188,0
2024-10-11,0.5305,0.5419,0.5296,0.5388,196729073.0,241480,0.008988764044943753,177347603.42857143,1.1092852071115507,0
2024-10-12,0.5387,0.5432,0.5353,0.5393,83887179.0,147315,0.018700415564790296,174044462.57142857,0.48198706101075955,0
2024-10-13,0.5393,0.5395,0.5252,0.5321,94059459.0,171230,-0.0028110944527734993,174579410.85714287,0.5387775026745176,0
2024-10-14,0.5321,0.5524,0.5282,0.5483,219397937.0,298059,0.0372682557699584,170709988.2857143,1.2852085528399049,0
2024-10-15,0.5484,0.5556,0.5315,0.5417,283568637.0,486305,0.020150659133709947,187762495.0,1.510251751820831,0
2024-10-16,0.5417,0.5538,0.5375,0.5482,222285502.0,319898,0.04518589132507156,195276555.42857143,1.1383112607253456,0
2024-10-17,0.5481,0.5666,0.5419,0.5441,312103613.0,490897,0.025636192271442093,201718771.42857143,1.5472214647634606,0
2024-10-18,0.5441,0.5532,0.5397,0.5465,219767509.0,287989,0.014291017074981482,205009976.57142857,1.0719844598559314,0
2024-10-19,0.5465,0.55,0.5406,0.544,90144479.0,147718,0.008715000927127736,205903876.57142857,0.4377988433293467,0
2024-10-20,0.544,0.549,0.5366,0.5482,117461950.0,195652,0.03025747040030069,209247089.57142857,0.5613552391126722,0
2024-10-21,0.5482,0.5608,0.5409,0.5449,283328526.0,422914,-0.006200984862301584,218380030.85714287,1.2974104128840624,0
2024-10-22,0.5449,0.5498,0.5291,0.5339,250206589.0,341139,-0.014399113900682936,213614024.0,1.1713022596306693,0
2024-10-23,0.5338,0.5341,0.5117,0.5258,211146628.0,310636,-0.04086099963516965,212022756.2857143,0.9958677629653411,0
2024-10-24,0.5259,0.5338,0.5241,0.532,195840193.0,229487,-0.022238559088402887,195413696.2857143,1.002182532352605,0
2024-10-25,0.532,0.5322,0.486,0.5022,350905027.0,454046,-0.08106129917657823,214147627.42857143,1.6386127234449224,0
2024-10-26,0.5022,0.5154,0.4989,0.5134,121828009.0,209741,-0.05625000000000013,218673846.0,0.5571219934550381,0
2024-10-27,0.5135,0.518,0.5108,0.5168,65734998.0,112112,-0.05727836556001453,211284281.42857143,0.3111210997597232,0
2024-10-28,0.5168,0.5217,0.5113,0.5195,159504690.0,244481,-0.0466140576252525,193595162.0,0.8239084507700662,0
2024-10-29,0.5195,0.5305,0.5185,0.5284,220863830.0,255258,-0.010301554598239449,189403339.2857143,1.166103147034951,0
2024-10-30,0.5285,0.5285,0.5194,0.5229,177555669.0,229039,-0.005515405096995107,184604630.85714287,0.9618158990681132,0
2024-10-31,0.5229,0.5238,0.5031,0.5095,195063825.0,259527,-0.04229323308270694,184493721.14285713,1.057292485574391,0
2024-11-01,0.5096,0.5244,0.5025,0.5131,277144347.0,422687,0.021704500199123844,173956481.14285713,1.5931820716263085,0
2024-11-02,0.513,0.516,0.5063,0.5103,68679320.0,155367,-0.00603817686014807,166363811.2857143,0.4128260795976217,0
2024-11-03,0.5103,0.5111,0.4917,0.503,176012483.0,356420,-0.026702786377709065,182117737.7142857,0.9664763312409256,0
2024-11-04,0.503,0.5147,0.4957,0.5035,211259474.0,326314,-0.030798845043310874,189511278.2857143,1.1147593742758535,0
2024-11-05,0.5035,0.5191,0.5019,0.514,190711816.0,279180,-0.02725208175624516,185203847.7142857,1.0297400316121479,0
2024-11-06,0.514,0.5469,0.514,0.5418,452294069.0,706591,0.036144578313252795,224452190.57142857,2.0151020484518916,0
2024-11-07,0.5418,0.5785,0.5377,0.5556,348528218.0,626850,0.09048086359175667,246375675.2857143,1.4146210562216524,0
2024-11-08,0.5556,0.56,0.5413,0.5537,261155203.0,444985,0.0791268758526602,244091511.85714287,1.069906941921208,0
2024-11-09,0.5537,0.562,0.5436,0.5593,230978970.0,369722,0.0960219478737998,267277176.14285713,0.8641926457519288,0
2024-11-10,0.5592,0.6187,0.5555,0.5884,712821995.0,1475074,0.16978131212723668,343964249.28571427,2.0723723366026148,0
2024-11-11,0.5885,0.633,0.5703,0.6207,661084405.0,1395645,0.23277060575968234,408224953.71428573,1.6194120398203025,0
2024-11-12,0.6208,0.7398,0.5968,0.704,1776854012.0,4449252,0.3696498054474706,634816696.0,2.7990032763725545,1
2024-11-13,0.7042,0.748,0.64,0.6898,1208545721.0,3274642,0.27316352897748253,742852646.2857143,1.62689831831759,0
2024-11-14,0.6897,0.8473,0.6822,0.7736,1349353792.0,3651388,0.392368610511159,885827728.2857143,1.523268857942975,0
2024-11-15,0.7736,0.9279,0.7704,0.8922,1413430891.0,4020631,0.6113418818854977,1050438540.8571428,1.3455626731352228,0
2024-11-16,0.8921,1.2698,0.8778,1.1209,2373030780.0,8052630,1.0041122832111569,1356445942.2857144,1.749447365371054,0
2024-11-17,1.1208,1.1603,1.0026,1.0543,1245814358.0,3643640,0.7918082936777702,1432587708.4285715,0.8696251899065599,0
2024-11-18,1.0545,1.1865,1.0543,1.1137,941344489.0,3537780,0.7942645400354436,1472624863.2857144,0.6392289798093427,0
2024-11-19,1.1138,1.148,1.0688,1.1003,562678894.0,1750208,0.5629261363636366,1299171275.0,0.43310601521727765,0
2024-11-20,1.1004,1.151,1.0556,1.1041,609804658.0,1806245,0.6006088721368514,1213636837.4285715,0.5024605707355105,0
2024-11-21,1.1042,1.2643,1.0774,1.247,1050788977.0,2873812,0.6119441571871771,1170984721.0,0.8973549852150462,0
2024-11-22,1.2471,1.5,1.247,1.4726,1597772473.98,4892084,0.6505267877157588,1197319232.8542857,1.3344582047438385,0
2024-11-23,1.4726,1.63,1.4033,1.4685,1243933645.71,4062387,0.31010794896957794,1036019642.2414286,1.2006853876039931,0
2024-11-24,1.4686,1.513,1.2775,1.4331,960628070.0,2943646,0.35929052451863797,995278743.9557143,0.965184955304083,0
2024-11-25,1.4334,1.5393,1.355,1.4142,912385354.0,2715327,0.26982131633294415,991141724.6700001,0.9205397485448189,0
2024-11-26,1.4142,1.4588,1.2833,1.3984,777417208.0,2955609,0.2709261110606198,1021818626.6700001,0.7608172210889532,0
2024-11-27,1.3984,1.5217,1.3524,1.4696,594887636.0,2119326,0.3310388551761616,1019687623.5271429,0.5834018402050015,0
2024-11-28,1.4696,1.5465,1.4292,1.5421,440541778.0,1989520,0.23664795509222114,932509452.2414286,0.47242607240183,0
2024-11-29,1.542,1.8149,1.5233,1.8006,1055874162.77,3970605,0.22273529811218262,855095407.7828572,1.2348027520200746,0
2024-11-30,1.8005,1.9575,1.7635,1.9513,1118556534.97,4673220,0.32877085461355127,837184391.9628572,1.3360933931740406,0
2024-12-01,1.9514,2.35,1.8475,2.2937,1171510986.43,5114663,0.6005163631288812,867310522.8814286,1.350739966278674,0
2024-12-02,2.2937,2.8723,2.2011,2.7245,2543716698.49,8939668,0.9265309008626785,1100357857.8085713,2.3117176657019236,0
2024-12-03,2.7244,2.9092,2.25,2.5102,1955605237.21,7807844,0.7950514874141876,1268670433.4099998,1.541460402725411,0
2024-12-04,2.5103,2.68,2.28,2.3574,1127878148.0,4989874,0.604109961894393,1344811935.1242855,0.8386883835142073,0
2024-12-05,2.3574,2.4942,2.1743,2.2446,1095218093.0,4313201,0.455547629855392,1438337122.9814284,0.7614474211232197,0
2024-12-06,2.2445,2.4637,2.2252,2.4257,671195786.0,2889656,0.34716205709208037,1383383069.1571426,0.4851843288850869,0
2024-12-07,2.4257,2.6196,2.384,2.6099,541326545.0,3407654,0.33751857735868396,1300921642.0185714,0.41611003116225526,0
2024-12-08,2.6099,2.6469,2.4843,2.6013,456273582.0,3445425,0.13410646553603356,1198744869.9571426,0.38062609770860806,0
2024-12-09,2.6013,2.6076,2.0012,2.2124,991793616.0,5011024,-0.18796109377867487,977041572.4585713,1.0150986856212345,0
2024-12-10,2.2124,2.42,1.9,2.3709,1376683984.0,6632184,-0.05549358616843292,894338536.2857143,1.5393320629093308,0
2024-12-11,2.3708,2.4703,2.2303,2.3941,696138801.0,3510035,0.0155679986425723,832661486.7142857,0.8360405904528988,0
2024-12-12,2.3942,2.484,2.308,2.3384,528351934.0,2632745,0.04178918292791578,751680606.8571428,0.7028941935978581,0
2024-12-13,2.3385,2.4788,2.284,2.4217,468083967.0,2297713,-0.0016490085336191562,722664632.7142857,0.6477194895257351,0
2024-12-14,2.4218,2.5319,2.3548,2.4005,347447120.0,1949933,-0.08023295911720751,694967572.0,0.499947240703772,0
2024-12-15,2.4006,2.473,2.3677,2.4469,275970977.0,1570186,-0.05935493791565771,669210057.0,0.4123831883775769,0
